Age,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EducationLabel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Attrition
-0.3201625558062908,-0.6407266473844129,3,3,1,3,3,4,0.6820710709374858,24444,-0.27759434772997477,1,13,3,4,3,-0.2930769296747854,0.1557070814399298,3,-0.32789331844000197,-0.33939373950819707,-0.3687152874355457,-1.1559347102263289,3,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
0.33684855220010396,-0.8875151110697495,3,3,1,3,2,4,-0.39137107761952733,22455,-0.6780493930322936,0,13,3,3,0,-0.2930769296747854,0.9316033855643254,3,0.32522751910309133,1.0410954610370433,1.8042974890316739,1.086895217551534,3,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
-1.4151810691502822,-0.02375548817107146,3,3,1,4,1,3,-0.44661552707020497,17616,-0.6780493930322936,0,16,3,4,1,-0.8073390444129942,-1.3960855268088614,3,-0.32789331844000197,-0.33939373950819707,-0.6791456840737199,-0.0345197463373974,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0.33684855220010396,0.59321567104227,3,3,1,2,5,3,2.788371945570437,17544,-0.6780493930322936,0,14,3,1,0,1.2497094145398413,-0.6201892226844657,4,2.1213098223465976,0.7649976209279952,0.5625759024789769,1.3672489585237668,3,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
-0.9771736638126857,-1.0109093429124179,3,1,1,3,1,3,-0.7636336754564013,15747,0.12286069757234411,0,15,3,4,1,-0.8073390444129942,0.1557070814399298,4,-0.6544537372115486,-0.6154915796172451,-0.3687152874355457,-0.5952272282818631,3,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
0.5558522548689022,-0.8875151110697495,4,1,1,2,2,4,0.05908366405522873,17078,0.12286069757234411,0,23,4,2,0,0.34975071374797573,2.4833959938131165,3,-0.9810141559830953,-1.1676872598353414,-0.6791456840737199,-1.1559347102263289,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
-2.072192177156677,0.59321567104227,3,2,0,3,1,3,-1.06004139462446,8018,-0.6780493930322936,0,16,3,3,0,-1.4501666878357553,0.9316033855643254,1,-1.1442943653688686,-1.1676872598353414,-0.6791456840737199,-1.1559347102263289,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
-0.8676718124782865,-1.0109093429124179,3,1,0,3,1,4,-0.5828143428312987,5598,-0.6780493930322936,0,15,3,1,3,-1.0644701017820986,1.707499689688721,3,-0.6544537372115486,-0.6154915796172451,-0.3687152874355457,-0.5952272282818631,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2.08887817355049,0.2230329755142651,5,4,0,2,2,1,-0.23859892702323035,20328,0.523315742874663,0,16,3,3,1,-0.678773515728442,0.1557070814399298,3,-1.1442943653688686,-1.1676872598353414,-0.6791456840737199,-1.1559347102263289,5,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
-0.7581699611438873,-0.8875151110697495,3,3,0,1,2,4,-0.08752660564080036,24793,-0.27759434772997477,0,20,4,3,0,-0.03594587230568093,-0.6201892226844657,3,-0.32789331844000197,-0.063295899399149,-0.6791456840737199,-0.5952272282818631,3,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
0.9938596602064987,0.7166099028849382,2,4,1,3,5,2,2.6725710803757474,10849,0.9237707881769818,0,11,3,1,1,1.76397152927805,-0.6201892226844657,3,-0.4911735278257753,-0.6154915796172451,-0.6791456840737199,-0.3148734873096303,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
-0.8676718124782865,-1.0109093429124179,1,4,1,3,2,3,-0.46403877651234177,26283,-0.6780493930322936,0,13,3,1,1,-0.16451140099023315,-1.3960855268088614,3,0.48850772848886465,0.7649976209279952,-0.6791456840737199,1.3672489585237668,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
